pid;ID;Kapitelueberschrift;ErsteSeite;LetzteSeite;Anzahl_Seiten;PID_ersteSeite;Anzahl_weitereGliederungsebenen;DeeplinkingUrl
1546426;DTL1317;"Titelblatt";"[Seite I]";"[Seite II]";2;1546755;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1546755
1546426;DTL1318;"Inhalts-Verzeichniss";"[Seite III]";"[Seite IV]";2;1546757;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1546757
1546426;DTL1319;"Kleinstäuber, Christian Heinrich: Ausführliche Geschichte der Studien-Anstalten in Regensburg. 1538-1880. Dritter Theil. Geschichte des vereinigten paritätischen Gymnasiums. (Von 1811-1880.)";"[Seite V]";"Seite 120";126;1546759;6;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1546759
1546426;DTL1320;"Erb, Nikolaus: Die Reichsherrschaft Hohenburg auf dem Nordgau. Ein Beitrag zur Geschichte des Hochstiftes Regensburg";"[Seite 121]";"[Seite 228]";112;1546883;8;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1546883
1546426;DTL1321;"Ziegler, Karl: Über Erhaltung alter Bauwerke";"[Seite 229]";"[Seite 242]";16;1546991;3;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1546991
1546426;DTL1322;"Rechenschaftsbericht des historischen Vereins für die Oberpfalz und Regensburg für die Jahre 1878, 1879, 1880, 1881, 1882, 1883";"[Seite I]";"Seite XXVI";26;1547005;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1547005
1546426;DTL1323;"Verzeichnis der in der sechsjährigen Periode verstorbenen Mitglieder";"[Seite XXVII]";"[Seite XLVIII]";21;1547031;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1547031
1546426;DTL1324;"Übersicht der in den Jahren 1878-1883 eingekommenen Elaborate";"Seite XLIX";"Seite LIV";6;1547052;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1547052
1546426;DTL1325;"16. Fortsetzung des Bücherkatalogs";"[Seite LV]";"Seite LXXII";18;1547058;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1547058
1546426;DTL1326;"Auszug aus der revidirten Rechnung des historischen Vereines";"[Seite LXXIII]";"Seite LXXIX";7;1547076;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1546426&childpid=1547076
1413862;DTL1134;"Titelblatt";"[Seite I]";"[Seite II]";2;1414147;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414147
1413862;DTL1135;"Inhalts-Verzeichniss";"[Seite III]";"[Seite IV]";2;1414149;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414149
1413862;DTL1136;"Mayr, Johann Barth.: Das Schloß und der Markt Neuhaus in der Oberpfalz";"[Seite 1]";"Seite 24";24;1414151;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414151
1413862;DTL1137;"Kleinstäuber, Christian Heinrich: Ausführliche Geschichte der Studien-Anstalten in Regensburg. 1538-1880. Dritter Theil. Geschichte des vereinigten paritätischen Gymnasiums. (Von 1811-1880.). Schluß";"[Seite 25]";"[Seite 172]";148;1414175;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414175
1413862;DTL1138;"Gambs, Pius: Personalstand der sogenannten ständigen Klöster der Diöcese Regensburg zur Zeit der Säcularisation, mit Notizen über die weiteren Lebensschicksale und die Todeszeit der einzelnen Conventualen";"[Seite 173]";"Seite 216";44;1414323;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414323
1413862;DTL1139;"Will, Cornelius: Ueber den Namen ""Weih sanct Peter"" und verwandte Bezeichnungen";"[Seite 217]";"[Seite 232]";16;1414367;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414367
1413862;DTL1140;"Schratz, Wilhelm: Auszug aus einem Sterbe-Register der St. Wolfgangsbruderschaften aus dem 15. Jahrhundert für die Jahre 1201-1488";"[Seite 233]";"Seite 256";24;1414383;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414383
1413862;DTL1141;"Neumann, Carl Woldemar: Der Grabstein des Bruders Berthold von Regensburg";"[Seite 257]";"Seite 260";4;1414407;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414407
1413862;DTL1142;"Rechenschaftsbericht für das Jahr 1884";"[Seite I]";"Seite XVI";16;1414411;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1413862&childpid=1414411
1720397;DTL1262;"Titelblatt";"[Seite I]";"[Seite II]";2;1720714;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1720714
1720397;DTL1263;"Inhalts-Verzeichniss";"[Seite III]";"[Seite IV]";2;1720716;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1720716
1720397;DTL1264;"Primbs, Karl: Geschichte und Genealogie der Paulsdorfer";"[Seite 1]";"Stammtafel A und B Die Paulsdorfer";193;1720718;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1720718
1720397;DTL1265;"Mayer, Joseph: Die hundertjährige Geburtstagsfeier des Sprachforschers Johann Andreas Schmeller in Tirschenreuth am 15. und 16. August 1885";"[Seite 193]";"Seite 212";20;1720912;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1720912
1720397;DTL1267;"Schratz, Wilhelm: Das St. Maria Magdalena-Kloster am Claren-Anger in Regensburg";"[Seite 213]";"Seite 232";20;1720934;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1720934
1720397;DTL1268;"Neumann, Carl Woldemar: Neue Nachträge zur Monographie: Die drei Dombaumeister Roritzer und ihr Wohnhaus zu Regensburg";"[Seite 233]";"Seite 252";20;1720954;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1720954
1720397;DTL1269;"Nekrologe";"[Seite 253]";"Seite 272";23;1720974;9;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1720974
1720397;DTL1270;"Rechenschaftsbericht des historischen Vereins für die Oberpfalz und Regensburg für die Jahre 1885";"Seite I";"Seite XIII";13;1720994;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1720994
1720397;DTL1271;"Mitgliederverzeichnis";"Seite XIV";"Seite XXIII";10;1721007;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1721007
1720397;DTL1272;"Auszug aus der revidirten Rechnung des historischen Vereins für Oberpfalz und Regensburg 1884/85";"Seite XXIV";"Seite XXIV";1;1721017;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1721017
1720397;DTL1273;"Statuten";"Seite 1";"Seite 8";8;1721018;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1720397&childpid=1721018
1743702;DTL1186;"Titelblatt";"[ungezählt]";"[Seite II]";4;1744000;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744000
1743702;DTL1187;"Einleitung";"[Seite III]";"Seite VI";4;1744004;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744004
1743702;DTL1188;"Schratz, Wilhelm: Urkunden und Regesten zur Geschichte des Nonnenklosters zum hl. Kreuz in Regensburg";"[Seite 1]";"Seite 208";208;1744008;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744008
1743702;DTL1189;"Binhack, Franz: Die Markgrafen im Nordgau als Einleitung zur Geschichte des Cisterzienserstiftes Waldsassen nach handschriftlichen Quellen";"[Seite 209]";"Seite 236";28;1744216;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744216
1743702;DTL1190;"Raith, M.: Hadamar von Laber";"[Seite 237]";"Seite 242";6;1744244;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744244
1743702;DTL1191;"Schratz, Wilhelm:  Anhang: Die Grabstein- und sonstigen Inschriften aus Laaber";"Seite 243";"[Seite 248]";6;1744250;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744250
1743702;DTL1192;"Fressl, Johannes: Franz Xaver v. Schönwerth, k. b. Ministerialrat a. d.";"[Seite 249]";"[Seite 268]";20;1744256;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744256
1743702;DTL1193;"Jahresbericht und Rechnungs-Ablage des historischen Vereiens der Oberpfalz und von Regensburg für das Jahr 1886";"[Seite I]";"Seite XIV";14;1744276;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744276
1743702;DTL1194;"Auszug aus der revidierten Jahresrechnung 1885/86";"[Seite XV]";"Seite XVI";2;1744290;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744290
1743702;DTL1195;"Inhalts-Verzeichniss.";"[Seite XVII]";"[Seite XVII]";1;1744292;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1743702&childpid=1744292
977854;DTL1457;"Titelblatt";"[Seite I]";"[Seite II]";2;978218;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978218
977854;DTL1458;"Inhaltsverzeichnis";"[Seite III]";"[Seite IV]";2;978220;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978220
977854;DTL1459;"Neudegger, Max Joseph: Oberpfälzische Amts-Ordnungen aus den Jahren 1561 und 1566";"[Seite 1]";"Seite 86";86;978222;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978222
977854;DTL1460;"Heckel, Max von: Geschichte der Familie Heckel";"[Seite 87]";"[Seite 258]";175;978308;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978308
977854;DTL1461;"Dollinger, Peter Paul: Auszug aus der Kloster St. Emmeramer Rotelsammlung vom Jahre 1730-1790 in der Regensburger Kreisbibliothek";"[Seite 259]";"Seite 296";38;978483;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978483
977854;DTL1462;"Schratz, Wilhelm: Verhandlungen zwischen den Städten Regensburg und Stadtamhof aus dem Jahre 1395";"[Seite 297]";"[Seite 306]";10;978521;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978521
977854;DTL1463;"Nekrologe";"[Seite 307]";"[Seite 326]";27;978531;9;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978531
977854;DTL1464;"Über die Heimat Neidharts von Reuenthal";"[Seite 327]";"Seite 334";8;978551;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978551
977854;DTL1465;"Jahresbericht für das Jahr 1887";"[Seite 335]";"Seite 346";12;978559;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978559
977854;DTL1466;"Mitgliederverzeichnis";"[Seite 347]";"Seite 356";10;978571;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=977854&childpid=978571
1306233;DTL1181;"Titelblatt";"[Seite I]";"[Abb.] Dollinger-Saal in Regensburg";2;1306528;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306528
1306233;DTL1182;"Inhaltsverzeichnis";"[Seite III]";"[Seite IV]";2;1306532;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306532
1306233;DTL1183;"Mayer, Manfred: Regesten zur Geschichte der Burggrafen von Regensburg";"[Seite 1]";"[Seite 56]";56;1306534;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306534
1306233;DTL1184;"Reisner Freiherr von Lichtenstern, Karl Anton: Geschichte der Reisner Freiherrn von Lichtenstern nebst genealogischen Nachrichten aus ihrem Familienkreise";"[Seite 57]";"Seite 150";96;1306590;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306590
1306233;DTL1185;"Sparrer, Johann Bapt.: Die Gruft unterhalb der ehemaligen Kloster- und nunmehrigen Pfarrkirche in Waldsassen";"[Seite 151]";"[Seite 174]";24;1306688;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306688
1306233;DTL1186;"Sepp, Bernh.: Arbeo's vita s. Emmerammi in ihrer ursprünglichen Fassung";"[Seite 175]";"Seite 210";36;1306712;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306712
1306233;DTL1187;"Will, Cornelius: Die Explosion des Pulverthurmes bei der Emmeramer-Bastei zu Regensburg am 8. Mai 1624";"[Seite 211]";"[Seite 218]";8;1306748;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306748
1306233;DTL1188;"Teicher, Friedrich: Karl Woldemar Neumann, k. b. Hauptmann a. D., + 7. Februar 1888 in Regensburg. Biographische Skizze";"[Seite 219]";"Seite 228";10;1306756;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306756
1306233;DTL1189;"Nekrologe";"[Seite 229]";"Seite 240";12;1306766;3;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306766
1306233;DTL1190;"Gratzmeier, Jacob: Das Dollinger-Haus zu Regensburg, in Bau und Geschichte geschildert";"[Seite 241]";"Seite 268";28;1306778;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306778
1306233;DTL1191;"Jahresbericht";"[Seite 269]";"Seite 284";16;1306806;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1306233&childpid=1306806
1389449;DTL761;"Titelblatt";"[Seite II]";"[Seite I]";2;1389639;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1389449&childpid=1389639
1389449;DTL762;"Striedinger, Ivo: Der Kampf um Regensburg 1486-1492";"[Seite 1]";"Seite 88";88;1389641;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1389449&childpid=1389641
1389449;DTL763;"Roth, E.: Michael Schwaiger, Stadtchronist etc. in Amberg. Historisch-biographische Studie";"[Seite 89]";"Seite 108";20;1389729;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1389449&childpid=1389729
1389449;DTL764;"Kull, J. V.: Studien zur Geschichte der oberpfälzischen Münzen des Hauses Wittelsbach. 1329-1794";"[Seite 109]";"Seite 186";78;1389749;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1389449&childpid=1389749
979734;DTL1057;"Titelblatt";"[Seite I]";"[Seite II]";2;979998;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=979998
979734;DTL1058;"Kull, J. V.: Studien zur Geschichte der oberpfälzischen Münzen des Hauses Wittelsbach. 1329-1794 (Schluss.)";"[Seite 1]";"Seite 94";95;980000;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=980000
979734;DTL1059;"Striedinger, Ivo: Der Kampf um Regensburg 1486-1492 (Schluß.)";"[Seite 95]";"[Seite 206]";112;980096;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=980096
979734;DTL1060;"Nekrolog";"[Seite 207]";"Seite 230";24;980208;5;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=980208
979734;DTL1061;"Schenz: Die Verdienste der Wittelsbacher um die Geschichte in älterer und neuerer Zeit. Ansprache in der Festversammlung des histor. Vereines am 10. März 1891";"[Seite 231]";"Seite 240";10;980232;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=980232
979734;DTL1062;"31. Plenarversammlung der historischen Kommission";"[Seite 241]";"Seite 246";6;980242;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=980242
979734;DTL1063;"Mitglieder-Verzeichnis";"[Seite 247]";"Seite 257";11;980248;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=980248
979734;DTL1064;"Inhalts-Verzeichnis";"[Seite 258]";"[Seite 258]";1;980259;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=980259
979734;DTL1065;"Die bayerische Linie";"[Tabelle]";"[Tabelle]";1;980260;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=979734&childpid=980260
1212769;DTL2325;"Register Band 1-40";"[Seite I]";"[Seite II]";2;1213350;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1212769&childpid=1213350
1212769;DTL2326;"Vorwort";"[Seite III]";"[Seite IV]";2;1213352;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1212769&childpid=1213352
1212769;DTL2327;"Register";"[Seite 1]";"Seite 571";571;1213354;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1212769&childpid=1213354
1212769;DTL2328;"Verzeichnis der Mitarbeiter";"Seite 572";"Seite 574";3;1213925;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1212769&childpid=1213925
1212769;DTL2329;"Bemerkung";"Seite 575";"Seite 576";2;1213928;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1212769&childpid=1213928
1312637;DTL1025;"Titelblatt";"[Seite I]";"[Abb.]";2;1312893;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1312893
1312637;DTL1026;"Inhalts-Verzeichnis";"[Seite III]";"[Seite IV]";2;1312895;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1312895
1312637;DTL1027;"Schwäbl, Johann Nepomuk: Bericht über die Errichtung und Enthüllung des Denkmales für den Sprachforscher Johann Andreas Schmeller in Tirschenreuth";"Seite 1";"Seite 54";54;1312897;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1312897
1312637;DTL1028;"Kamann, Johann Bapt.: Aus dem Briefwechsel der Nürnberger Patrizierfamilie Fürer von Haimendorf mit dem Kloster Gnadenberg in der Oberpfalz. 1460-1540";"[Seite 55]";"[Seite 80]";26;1312951;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1312951
1312637;DTL1029;"Lauter, Theodor: Nachrichten über die vom Praittenstein (Braitenstein)";"Seite 81";"Seite 112";32;1312977;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1312977
1312637;DTL1030;"Doeberl: Quellen und Erörterungen zur Geschichte des Nordgaus";"[Seite 113]";"[Seite 130]";18;1313009;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1313009
1312637;DTL1031;"Ebner, Franz: Ein Regensburger kaufmännisches Hauptbuch aus den Jahren 1383-1407";"[Seite 131]";"[Seite 152]";22;1313027;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1313027
1312637;DTL1032;"Ebner, Adalbert: Die ältesten Denkmale des Christenthums in Regensburg";"[Seite 153]";"[Seite 180]";28;1313049;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1313049
1312637;DTL1033;"Jahresbericht vom 1. Januar 1889 - 5. Juni 1891";"Seite 181";"Seite 214";34;1313077;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1313077
1312637;DTL1034;"Nekrologe";"Seite 215";"[Seite 222]";8;1313111;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1313111
1312637;DTL1035;"Mitglieder-Verzeichnis";"Seite 223";"[Seite 225]";3;1313119;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1313119
1312637;DTL1038;"Schratz, Wilhelm: Aus der Sammlung Schratz-Regensburg. Fünfzig Regensburger und Erlanger Medaillen, Münzen und Marken";"[Seite 1]";"Seite 23";23;1313125;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1312637&childpid=1313125
1196411;DTL1413;"Schaube, Kolmar: Eine Regensburger Handschrift des 14. Jahrhunderts, enthaltend eine Abschrift der Privilegien Kaiser Heinrich VII. für die Regensburger Bürger, sowie formulierte Wünsche derselben betreffs Gewährung weiterer Vergünstigungen";"[Seite 1]";"Seite 20";20;1196764;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1196764
1196411;DTL1414;"Lauter, Theodor: Der Kölnische Vergleich von 1652. Ein Beitrag zur Geschichte des Simultaneum im Herzogtum Sulzbach";"[Seite 21]";"Seite 182";162;1196784;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1196784
1196411;DTL1415;"Reitzenstein, Hermann Freiherr von: Eysentraut Landgräfin von Leuchtenberg";"[Seite 183]";"Seite 194";12;1196946;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1196946
1196411;DTL1416;"Renz, Gustav Adolf: Die Streitigkeiten um den St. Gilgenplatz zwischen dem Deutschorden, den Dominikanern und der Reichsstadt Regensburg";"[Seite 195]";"Seite 226";32;1196958;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1196958
1196411;DTL1417;"Adermayr, Anton: Graf Nikolaus von Luckner, Marschall von Frankreich";"[Seite 227]";"Seite 262";36;1196990;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1196990
1196411;DTL1418;"Sepp, B.: Paul und Gebhard, die Gründer des Klosters St. Mang in Stadtamhof bei Regensburg. Ein Beitrag zur Kulturgeschichte des Mittelalters";"[Seite 263]";"Seite 298";36;1197026;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1197026
1196411;DTL1419;"(anonym), Ein im Jahre 1892 bei Regensburg gemachter Fund aus römischer Zeit";"[Seite 299]";"Seite 308";10;1197062;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1197062
1196411;DTL1420;"Will, Cornelius: Rückblick auf die Entwicklung des historischen Vereins von Oberpfalz und Regensburg";"[Seite 309]";"Seite 326";18;1197072;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1197072
1196411;DTL1421;"Jahresbericht des historischen Vereines der Oberpfalz und von Regensburg von 5. Juni 1891 - 14. Dezember 1893";"[Seite 327]";"Seite 352";26;1197090;1;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1196411&childpid=1197090
1103814;DTL1365;"Titelblatt";"[Seite I]";"[Seite II]";2;1104155;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104155
1103814;DTL1366;"Johann Heinrich Thomas von Bößner";"[Seite III]";"[Seite IV]";2;1104157;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104157
1103814;DTL1367;"Inhalts-Verzeichnis";"Seite V";"Seite VI";2;1104159;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104159
1103814;DTL1368;"Will, Cornelius: Die Einnahme von Stadt-Kemnath am 12. März 1634. Beitrag zur Geschichte des 30jährigen Krieges in der Oberpfalz";"[Seite 1]";"Seite 32";32;1104161;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104161
1103814;DTL1369;"Bibra, Wilhelm Freiherr von: Jutta Landgräfin von Leuchtenberg";"[Seite 33]";"Seite 52";20;1104193;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104193
1103814;DTL1370;"Vierling, Albert: Erinnerung an den alten Friedhof und die Gottesackerkirche in Weiden";"[Seite 53]";"[Seite 64]";12;1104213;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104213
1103814;DTL1371;"Weiß, Joseph: Ein nächtlicher Straßenmord in Regensburg am 9. März 1668";"[Seite 65]";"Seite 72";8;1104225;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104225
1103814;DTL1372;"Götz, Johann Bapt.: Die Dietfurter Benefizien bis zur Gründung der Pfarrei";"[Seite 73]";"Seite 140";68;1104233;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104233
1103814;DTL1373;"von Schlieben: Zwei alte Sonnenuhren am Dome zu Regensburg. Mit einer Figurentafel";"[Seite 141]";"Seite 156";16;1104301;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104301
1103814;DTL1374;"Schmid, Joseph: Beiträge zur Genealogie Oberpfälzischer Adelsgeschlechter";"[Seite 157]";"[Seite 178]";22;1104317;0;http://digital.bib-bvb.de/webclient/DeliveryManager?custom_att_2=simple_viewer&pid=1103814&childpid=1104317
